ROW,X,Y,HAZARD 1 IN 30,HAZARD 1 IN 100,HAZARD 1 IN 1000,ELEVATION,SLOPE,LANDUSE,IMPERVIOUSNESS,SOIL TYPE,SUBSTRATE,NDVI,DISTANCE TO RIVER,BUILDING TYPE,DISTANCE TO ROAD
1,295003,79977,1,0,0,,,,,,,,,,
2,295013,76747,2,3,4,25.032,53.5158,,,3,2,0.848905,,6,
3,295023,76747,3,3,4,26.478,75.7392,,0,3,2,0.785549,1.16177,6,0.547038
4,295033,76747,2,3,4,23.149,3.59916,21,19,3,2,0.690754,0.518202,4,2.15255
5,295063,76757,2,2,3,18.509,33.8683,21,0,3,2,0.696057,4.29976,6,7.40981
6,295073,76747,2,3,4,19.251,22.4389,21,0,3,2,0.665931,7.23809,2,4.01183
7,295083,76737,2,3,4,18.089,4.26895,21,0,3,2,0.740758,9.39828,2,7.53503
8,295103,76727,2,2,4,18.994,71.8075,21,0,3,2,0.679098,3.64151,2,2.29
9,295103,76717,1,2,3,24.174,71.4363,21,0,3,2,0.68894,11.1329,2,9.93572
10,295113,76717,2,3,4,18.52,47.6144,21,0,3,2,0.645467,4.50884,6,3.49034
11,295123,76707,2,3,4,19.716,46.0339,21,0,3,2,0.673938,5.37617,6,4.69557
12,295143,76677,2,2,3,20.775,66.9757,21,0,3,2,0.761269,4.92352,2,6.10022
13,295153,76697,2,3,4,19.154,14.3718,21,8,3,2,0.805204,4.66285,6,3.55287
14,295163,76697,2,3,4,28.975,73.2682,21,0,3,2,0.689295,0.648277,6,0.113615
15,295183,76697,1,2,3,19.184,49.4334,21,0,3,2,0.677319,1.46001,2,4.9051
16,295193,76697,2,2,4,17.675,2.92979,21,0,3,2,0.663866,0.957498,2,5.16074
17,295203,76737,2,3,4,18.001,44.61,21,43,14,2,0.630332,12.142,6,14.7892
18,295203,76727,3,3,4,16.731,11.4682,21,0,3,2,0.682682,10.0121,6,11.269
19,295203,76717,2,2,3,17.612,4.49523,21,0,3,2,0.621987,7.88225,2,7.74868
20,295203,76707,2,3,4,17.509,2.50725,21,0,3,2,0.597925,5.75238,6,6.78318
21,295213,76747,3,3,4,16.795,25.4359,21,44,3,2,0.339736,8.63173,6,10.1625
22,295213,76737,1,2,3,17.927,2.69462,21,0,3,2,0.554667,2.37142,2,5.42933
23,295213,76717,1,2,2,18.044,7.70395,21,0,3,2,0.687003,1.88831,2,1.61122
24,295223,76767,1,2,2,17.068,49.3461,21,39,14,2,0.555825,14.3981,2,12.2089
25,295223,76757,2,2,3,17.717,51.5248,21,17,3,2,0.61828,7.77069,2,6.72442
26,295233,76777,2,3,4,22.597,53.9196,21,30,14,2,0.808612,13.5371,6,11.6026
27,295233,76767,1,2,2,21.113,65.5172,21,17,3,2,0.690355,6.90966,2,4.84121
28,295243,76787,2,2,3,18.25,24.7157,21,17,14,2,0.782334,12.6761,6,10.9976
29,295243,76647,2,3,3,24.179,48.1867,,0,3,2,,,6,
30,295253,76787,2,3,3,19.303,67.7451,21,15,3,2,0.764145,5.18759,2,3.63142
31,295253,76647,2,2,3,27.073,75.5574,1,0,3,2,0.589583,68.2957,6,0.664458
32,295263,76597,1,1,2,32.183,68.5087,2,0,3,2,0.866102,114.959,2,48.302
33,295263,76587,2,2,2,25.083,0.413342,1,0,14,2,0.879503,123.778,2,56.5823
34,295273,76797,1,3,3,16.533,30.4675,21,20,3,2,0.754169,5.16877,6,6.7415
35,295273,76587,1,2,2,26.314,64.1544,1,0,14,2,0.80609,128.63,2,50.7291
36,295273,76577,2,2,2,25.052,5.59827,1,0,14,2,0.653114,137.299,4,47.8346
37,295273,76567,1,1,2,25.177,1.95999,1,0,14,2,0.583778,146.138,2,38.1661
38,295283,76797,2,3,3,22.57,21.8494,21,17,3,2,0.7474,3.52355,2,6.03066
39,295283,76587,1,1,2,27.826,10.008,1,0,14,2,0.720322,134.053,2,40.811
40,295283,76577,1,1,2,25.108,9.38317,1,0,14,2,0.66109,142.392,4,42.0884
41,295303,76787,3,3,3,32.972,61.005,21,0,3,2,0.73111,2.99436,6,2.11749
42,295313,76787,1,2,3,17.168,7.89655,21,0,3,2,0.683824,0.146638,2,1.59789
43,295323,76777,1,2,3,23.822,67.34,21,0,3,2,0.671606,6.88487,6,3.97347
44,295323,76527,1,1,2,27.355,3.76491,21,35,14,2,0.653584,206.158,4,7.7348
45,295323,76517,1,2,3,27.915,4.02544,21,0,14,2,0.693496,214.491,4,2.24457
46,295323,76507,2,2,3,28.29,16.4828,21,28,2,1,0.674199,222.961,4,5.1019
47,295333,76777,1,2,3,22.651,75.8665,21,0,3,2,0.627934,4.03715,6,0.262707
48,295333,76477,1,2,2,29.829,33.7787,21,68,2,1,0.270449,253.875,4,7.69455
49,295343,76707,2,2,3,22.205,3.33177,21,49,3,2,0.470769,68.2911,4,4.33244
50,295343,76447,1,1,2,31.243,3.94831,21,53,2,1,0.41491,284.944,4,5.95558
51,295343,76007,2,2,3,66.042,2.3454,,28,2,1,0.599114,,2,
52,295343,75997,1,2,3,66.101,1.35287,,,2,1,,,2,
53,295353,76767,1,1,3,17.512,50.5373,21,0,3,2,0.718033,7.92767,6,2.12721
54,295363,76767,3,3,3,16.159,41.6835,21,0,3,2,0.677517,5.07995,6,0.841027
55,295373,76897,1,2,2,26.476,9.6627,21,81,14,2,0.393825,122.385,4,8.78356
56,295373,76837,3,3,3,21.097,64.5714,21,55,14,2,0.337955,64.8694,2,7.37859
57,295373,76827,3,3,3,20.903,67.5757,21,54,14,2,0.253886,55.2835,2,17.2855
58,295383,76657,1,1,2,23.362,21.8077,21,68,14,2,0.534704,109.579,4,7.19586
59,295383,76647,1,1,3,23.325,2.63902,21,68,14,2,0.418033,119.578,4,6.39864
60,295393,76777,1,1,3,15.63,31.2317,21,0,3,2,0.73344,5.4224,6,9.22133
61,295393,76697,1,1,2,21.721,19.9713,21,42,14,2,0.66725,70.3993,4,10.9014
62,295393,76687,1,1,2,22.063,3.67552,21,59,14,2,0.58034,80.2968,4,6.80178
63,295393,76677,1,1,1,22.709,56.0811,21,79,14,2,0.491468,90.217,4,1.89
64,295403,76847,1,3,3,20.904,29.0624,21,72,14,2,0.740506,66.0065,4,3.00603
65,295403,76777,2,3,3,15.228,26.207,21,0,3,2,0.738611,1.52922,6,4.12203
66,295413,76787,3,3,4,15.249,3.67254,21,13,3,2,0.662239,6.84707,6,7.27009
67,295433,76797,1,2,3,16.635,66.5484,21,36,3,2,0.631496,8.27175,6,1.90349
68,295443,76797,1,3,3,19.784,77.3552,21,36,3,2,0.673152,4.37857,6,7.5788
69,295453,76797,1,3,3,14.23,28.6418,21,0,3,2,0.617363,3.55238,2,8.74251
70,295463,76607,1,1,1,24.129,77.2431,20,74,14,2,0.288426,178.417,2,18.0975
71,295463,76597,1,2,3,23.126,79.8782,20,65,14,2,0.255611,187.628,2,28.0948
72,295483,76787,2,3,3,14.945,43.1325,21,0,3,2,0.792127,2.17735,6,0.823136
73,295493,76787,3,3,4,28.924,51.7645,21,0,3,2,0.722276,0.786336,6,1.56254
74,295493,76717,1,2,3,19.571,30.8696,21,43,14,2,0.651948,70.1058,2,13.5477
75,295493,76597,2,3,3,24.564,47.8804,21,61,14,2,0.328487,188.939,2,29.4065
76,295493,76567,1,1,3,25.174,1.49009,21,24,2,1,0.817367,218.585,2,17.6698
77,295493,76507,1,1,1,28.737,3.03738,21,28,2,1,0.611846,274.45,4,0.499738
78,295493,76467,1,2,2,32.227,0.977774,21,82,2,1,0.193651,311.693,2,13.0489
79,295503,76787,3,3,4,24.688,73.6197,21,0,3,2,0.647059,0.60468,6,2.30195
80,295503,76727,1,2,2,18.707,57.3512,21,37,14,2,0.64476,58.812,4,0.541944
81,295503,76717,1,2,3,18.747,0.982547,21,41,14,2,0.529482,68.7148,4,5.89394
82,295503,76507,1,1,2,28.764,0.865885,21,29,2,1,0.62098,270.802,4,1.72802
83,295513,76787,2,3,3,28.103,72.9886,21,0,3,2,0.725719,1.9957,6,3.04135
84,295513,76717,1,2,3,18.731,1.06654,21,28,14,2,0.6496,67.3238,4,0.200927
85,295513,76557,1,1,1,29.187,66.3806,21,25,2,1,0.670188,220.6,2,0.0930375
86,295523,76787,1,3,4,26.126,82.1581,21,0,3,2,0.708193,3.38671,6,4.73131
87,295523,76547,2,2,3,26.186,29.5489,21,36,2,1,0.664202,226.262,2,4.70409
88,295533,76577,1,1,3,24.879,0.664454,21,62,2,1,0.383051,194.682,4,8.30296
89,295533,76497,1,1,2,28.797,4.75923,21,37,2,1,0.697608,269.168,4,1.25808
90,295543,76777,1,3,4,27.309,49.6446,21,0,3,2,0.600526,3.73404,6,1.25051
91,295543,76497,1,2,3,28.821,1.53996,21,37,2,1,0.486497,265.52,4,1.02329
92,295553,76777,3,3,4,24.042,71.6037,21,0,3,2,0.604278,1.16981,6,6.98043
93,295553,76497,1,2,2,30.055,60.2918,21,34,2,1,0.61933,261.871,4,2.8519
94,295563,76497,1,2,3,29.16,1.85399,21,34,2,1,0.583405,258.223,4,1.81264
95,295563,76487,1,1,1,30.376,6.7504,21,34,2,1,0.669088,267.534,2,0.0093834
96,295573,76767,2,3,4,19.056,29.9912,21,0,3,2,0.677005,3.18412,6,5.29434
97,295573,76487,1,1,1,30.348,8.91754,21,26,2,1,0.816114,263.886,2,7.25751
98,295583,76477,1,1,2,31.02,2.7389,21,0,2,1,0.884024,269.548,2,17.7908
99,295593,76757,3,3,4,23.113,15.1409,21,0,3,2,0.717647,5.19844,6,3.60825
100,295593,76467,1,1,2,31.644,2.36805,21,0,2,1,0.913175,275.211,2,25.748
101,295593,76457,1,1,2,32.002,2.43484,21,0,2,1,0.928244,284.522,2,23.8811
102,295603,76757,2,3,4,12.01,7.63019,21,0,3,2,0.741722,1.55021,6,7.39322
103,295613,76747,3,3,4,,,21,0,3,2,0.833549,7.21275,6,1.92216
104,295613,76417,1,1,2,34.22,10.1922,21,15,2,1,0.814855,314.468,2,5.53598
105,295613,76407,1,1,2,35.043,36.2712,21,0,2,1,0.676707,323.779,2,6.16629
106,295613,76397,1,2,3,35.416,13.7839,21,23,2,1,0.733409,333.09,2,6.79659
107,295613,76387,1,2,4,35.963,10.2349,21,30,2,1,0.746224,342.4,2,7.4269
108,295613,76377,2,2,4,36.579,3.36675,21,42,2,1,0.676768,351.711,2,8.0572
109,295613,76367,1,1,3,37.26,4.86131,21,42,2,1,0.578808,361.022,4,1.98195
110,295613,75947,3,3,3,47.407,71.2557,1,0,12,1,0.705606,759.106,2,56.1057
111,295623,76747,1,3,4,13.821,,21,16,3,2,0.746501,3.56452,6,5.70713
112,295623,75947,2,3,3,47.453,3.94342,1,0,12,1,0.67392,756.818,2,49.3994
113,295633,76827,1,1,2,16.644,2.68811,21,95,14,2,0.29445,74.5699,2,11.4691
114,295633,76817,2,2,3,16.558,34.6763,21,90,14,2,0.328358,65.2591,2,10.0216
115,295633,76737,1,3,4,22.158,69.972,21,20,3,2,0.737265,9.22706,6,0.0379159
116,295643,76817,1,1,2,16.682,1.12181,21,100,14,2,0.239404,68.9073,2,17.5725
117,295643,76737,1,3,4,15.683,53.3305,21,20,3,2,0.567568,5.57883,6,4.62816
118,295653,76727,1,3,4,13.456,77.1483,21,0,3,2,0.789233,11.2414,6,0.290341
119,295653,76657,3,3,3,22.628,8.241,21,35,14,2,0.785714,76.4167,6,7.92367
120,295663,76727,3,3,4,11.887,34.5849,21,22,3,2,0.831325,7.59314,6,4.62041
121,295663,76657,2,3,3,25.228,29.3845,21,29,14,2,0.775557,72.7685,2,12.0052
122,295663,76637,1,1,2,20.011,6.1098,21,32,14,2,0.672209,91.3901,2,6.0179
123,295683,76717,3,3,4,9.735,,21,20,3,2,0.550251,9.60745,6,1.44476
124,295703,76707,3,3,4,13.147,37.2147,21,34,3,2,0.594747,11.6218,6,1.73088
125,295713,76707,1,3,4,9.897,29.6942,21,46,3,2,0.343666,7.97353,6,1.42567
126,295733,76697,3,3,4,12.372,47.042,21,39,3,2,0.677985,9.98784,6,1.91518
127,295743,76697,1,3,4,,,21,40,3,2,0.496549,6.33961,6,0.972746
128,295743,76597,3,3,3,23.811,44.8066,21,48,14,2,0.341713,99.4473,2,16.8426
129,295753,76597,1,2,2,21.939,28.9464,21,48,14,2,0.269648,95.7991,2,18.3597
130,295753,75937,1,2,3,42.296,1.61026,21,46,3,2,0.511306,748.413,2,4.66961
131,295753,75927,1,2,3,42.276,3.8673,21,23,3,2,0.652812,758.378,2,14.634
132,295763,75947,1,2,3,48.237,72.3301,21,42,3,2,0.434634,737.603,2,4.6861
133,295763,75937,2,3,3,42.163,0.992145,21,42,3,2,0.468318,747.567,2,5.30003
134,295763,75927,2,3,3,42.097,0.938406,21,21,3,2,0.729059,757.531,2,15.2862
135,295763,75627,2,3,3,48.65,7.14423,21,57,14,2,0.565472,1056.46,4,4.27177
136,295763,75617,2,2,3,48.514,2.70729,21,50,14,2,0.5543,1066.42,4,5.26813
137,295773,79997,1,0,0,,,,,,,,,,
138,295773,76687,3,4,4,11.637,56.7149,21,38,3,2,0.679377,4.70569,6,0.0625962
139,295773,75947,1,2,3,42.265,21.7521,21,0,3,2,0.453704,736.757,2,4.15957
